meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_controls	n_cases
al-Ishak	Aerobic training	el-Hamady	2010	HR	1.52512691976503	1.08128128975295	2.15116283194302	53	76
al-Ishak	Resistance training	Riley	2009	HR	0.935442984658293	0.679477363197934	1.28783330386168	55	43
al-Ishak	Resistance training	Taylor	1987	HR	1.55364745571278	1.2364733928278	1.95218144655941	67	47
al-Ishak	Resistance training	el-Hamdan	1998	HR	1.72939759229776	1.304395657735	2.29287487620024	57	41
al-Ishak	Resistance training	Conover	2001	HR	0.959788626281079	0.802313249292733	1.14817274668041	69	50
al-Ishak	Resistance training	al-Sadri	1999	HR	1.08982359272894	0.836418956509282	1.42000065161773	68	56
al-Ishak	Resistance training	al-Majeed	1998	HR	2.00289264252642	1.61480539406683	2.48424915610632	57	65
al-Ishak	Resistance training	Harpham	1995	HR	1.78284367796499	1.2324773154152	2.57897775505016	71	44
al-Ishak	Mindfulness	Thames	2016	HR	2.35064534172294	1.7490077523117	3.15923901152557	53	74
al-Ishak	Mindfulness	el-Obeid	2015	HR	0.11354002824883	0.0832426690830153	0.15486454431067	55	52
al-Ishak	Mindfulness	Purchase	2006	HR	0.590942108832285	0.464467021600189	0.751856557626062	57	46
al-Ishak	Mindfulness	Arteaga	2018	HR	1.41584518342824	1.04858342453546	1.91173876730412	64	49
al-Ishak	Mindfulness	Keesee	1995	HR	2.27188046547867	1.77274046072751	2.91156035740585	65	74
al-Ishak	Mindfulness	Ringenberg	1999	HR	1.51452569107683	1.09600082801233	2.09287074453373	59	76
al-Ishak	Mindfulness	el-Khan	2007	HR	2.04370510662015	1.54729584047858	2.69937425898684	55	48
al-Ishak	Mindfulness	Angeles	1999	HR	2.35410788184627	1.81254495791332	3.05748218557333	57	66
al-Ishak	Mindfulness	Kinder	2008	HR	1.53094663618725	1.02781349417494	2.28037247626768	69	41
al-Ishak	Mindfulness	Peppers	2016	HR	2.74758611196987	1.99190290712518	3.78995854450815	71	55
al-Ishak	Mindfulness	Sutherburg	2012	HR	1.32189972191034	1.14463948015337	1.52661069715373	65	56
al-Ishak	Mindfulness	Locquiao-Rima	1989	HR	2.04152537359384	1.64642409038695	2.53144124612992	61	66
al-Ishak	Mindfulness	Webb	2000	HR	2.59881267523624	2.18017031626053	3.09784390265107	72	63
al-Ishak	Mindfulness	Mckenzie	2000	HR	1.77011039635217	1.19182169537543	2.62899293361749	62	70
al-Ishak	Mindfulness	Lovins	2005	HR	2.06899221432091	1.70043430548924	2.51743261653907	54	49
al-Ishak	Mindfulness	Loi	2003	HR	0.632435504618219	0.443174661441552	0.902521516461861	51	66
al-Ishak	Mindfulness	Miller	1986	HR	1.56542560070305	1.20651872838743	2.03109761471483	55	55
al-Ishak	Mindfulness	el-Jafri	1992	HR	1.67558088118292	1.3839001782957	2.02873829588152	62	78
al-Ishak	Mindfulness	Rogers	1987	HR	1.43798149496405	0.975026306262295	2.12075383666909	52	49
al-Ishak	Mindfulness	Molina	1989	HR	1.90661352303913	1.34535456251212	2.70202014214592	57	70
al-Ishak	Mindfulness	Gomez	1997	HR	1.3127429082574	1.0988935460135	1.56820826678958	66	47
