meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_cases_exp	n_cases_nexp	n_controls_exp	n_controls_nexp	multiple_es
el-Abood	Carbohydrates	al-Mansouri	1986	OR	1.1522633744856	0.768002066377398	1.72878556231448	85	102	81	112	
Hinostroza	Lipid	Brye	1998	OR	0.908413926499033	0.612671235533431	1.3469146485046	101	94	110	93	
Hinostroza	Lipid	Stanton	2020	OR	1.03664772727273	0.676883673107789	1.58762657921073	89	88	80	82	
Hinostroza	Lipid	al-Dib	1986	OR	1.05571847507331	0.691017605833038	1.61289884541728	84	77	93	90	
Hinostroza	Lipid	Brooks	1997	OR	0.995670995670996	0.621950003012851	1.59395566656182	69	77	63	70	
Hinostroza	Lipid	Wineland	1991	OR	0.964285714285714	0.615626128848	1.51040850152917	81	84	71	71	
Hinostroza	Lipid	Davis	2010	OR	1.0423524248409	0.699268232261861	1.55376510392487	95	98	93	100	
Hinostroza	Lipid	el-Masri	1989	OR	0.942456140350877	0.612661597592781	1.44977844208778	85	75	95	79	
Hinostroza	Lipid	Gonzales	1987	OR	0.854739652870494	0.579601892556839	1.26048566019395	97	105	107	99	
Hinostroza	Lipid	Macon-Robinson	2005	OR	1.04042904290429	0.702189193742805	1.54159677044992	97	101	96	104	
Hinostroza	Lipid	Keelick	2012	OR	1.14705882352941	0.724596385658772	1.81583012374601	73	73	68	78	
Hinostroza	Lipid	San	2020	OR	1.17442528735632	0.711915346211439	1.93741399581002	61	58	60	67	
Hinostroza	Lipid	Guerrero	2020	OR	1.03614457831325	0.67682727775601	1.58621796498422	85	83	85	86	
Hinostroza	Lipid	al-Saber	2008	OR	1.07623705408516	0.703211432268585	1.64713789258121	86	88	79	87	
Hinostroza	Lipid	Archuleta	1997	OR	0.994688556253018	0.674070396389274	1.46780711516269	100	109	95	103	
Hinostroza	Lipid	al-Samra	2003	OR	1.18482972136223	0.771931715563696	1.81858244753964	86	76	85	89	
Hinostroza	Lipid	Fenton	1998	OR	0.894461538461538	0.527602724623141	1.51640885546688	57	50	65	51	
Hinostroza	Lipid	Brady	2003	OR	0.886613386613387	0.564096199433791	1.39352702271543	75	77	78	71	
Hinostroza	Lipid	Henderson	2008	OR	1.07402178297701	0.675828004197137	1.70682893154074	71	74	67	75	
Hinostroza	Lipid	Farrar	2004	OR	1.18279569892473	0.727644043175114	1.92265116235984	66	63	62	70	
Hinostroza	Lipid	Maron	2007	OR	0.933333333333333	0.553246778194255	1.57454348664141	56	66	50	55	
Hinostroza	Lipid	el-Noorani	1997	OR	0.842331581462016	0.554051659627126	1.28060710729719	82	92	91	86	
Hinostroza	Lipid	al-Ahsan	2000	OR	1.21739130434783	0.710939470879903	2.08462414678909	56	46	56	56	
Hinostroza	Lipid	Kim	2001	OR	1.09236947791165	0.705839824417671	1.69056921272107	80	75	83	85	
Hinostroza	Lipid	Bailey	1999	OR	1.24230769230769	0.772131374628798	1.99878991202607	68	64	65	76	
Hinostroza	Lipid	Day	1992	OR	0.927083333333333	0.607103195027627	1.41571237638658	89	96	80	80	
Hinostroza	Lipid	el-Abdelrahman	2016	OR	1.17705882352941	0.770884657828627	1.79724354347761	87	80	85	92	
Hinostroza	Lipid	Brack	1990	OR	0.822898799313894	0.558917362320269	1.21156092038562	101	110	106	95	
Hinostroza	Lipid	Brown	2006	OR	0.960020115665074	0.632215129884023	1.4577927337023	92	97	82	83	
Hinostroza	Lipid	Caster	2001	OR	1.39777777777778	0.859513414567294	2.27312649568475	68	60	60	74	
Hinostroza	Lipid	Khatter	1997	OR	0.756138477962483	0.481246935585521	1.18804995019821	74	79	83	67	
Hinostroza	Lipid	Chawla	1996	OR	0.924242424242424	0.56868264300811	1.50211030576035	67	67	66	61	
Hinostroza	Lipid	Vasquez	1994	OR	0.974516129032258	0.574813926898666	1.65215496929224	57	50	62	53	
al-Rasul	Dietary fiber	el-Baksh	1996	OR	1.17883524716426	0.956078831880128	1.45349158837047	367	386	296	367	
al-Rasul	Dietary fiber	al-Ayoob	2016	OR	1.14412744371079	0.946086024105295	1.38362429430255	433	446	381	449	
al-Rasul	Dietary fiber	Marusin	2005	OR	1.51272450532725	1.14486754361469	1.99877744965378	217	219	150	229	groups
al-Rasul	Dietary fiber	Marusin	2005	OR	1.54362416107383	1.16804737112625	2.03996482467432	218	218	149	230	groups
al-Rasul	Dietary fiber	Marusin	2005	OR	1.57519616390584	1.19171832082307	2.08207167031718	219	217	148	231	groups
al-Rasul	Dietary fiber	Spencer	1989	OR	1.28426951908169	1.0160952237999	1.62322207506717	297	307	229	304	
al-Rasul	Dietary fiber	Archuleta-Martinez	2001	OR	1.07604651767828	0.926988817080702	1.24907235866552	704	714	646	705	outcomes
al-Rasul	Dietary fiber	Archuleta-Martinez	2001	OR	1.08229231220849	0.932365334661984	1.25632797093454	705	713	645	706	outcomes
al-Rasul	Dietary fiber	Archuleta-Martinez	2001	OR	1.10225835353642	0.949513829852467	1.27957428290391	714	716	636	703	outcomes
al-Rasul	Dietary fiber	Archuleta-Martinez	2001	OR	1.05643679148059	0.910133509861659	1.22625821629559	694	710	656	709	outcomes
al-Rasul	Dietary fiber	Chang	2018	OR	1.13850023248933	0.974420787032671	1.33020846499531	649	656	577	664	
Ortega	Sodium	Wellington	2019	OR	0.18	0.0800686608505934	0.404652702515629	18	100	19	19	outcomes
Ortega	Sodium	Wellington	2019	OR	1.00246913580247	0.424306133995643	2.36844176343411	28	90	9	29	outcomes
Ortega	Sodium	Wellington	2019	OR	0.582437275985663	0.258025946417233	1.31472506997049	25	93	12	26	outcomes
Ortega	Sodium	al-Mannan	2001	OR	0.678641926569286	0.518013660339791	0.889078608845124	191	298	187	198	outcomes
Ortega	Sodium	al-Mannan	2001	OR	0.732128917140627	0.559019210370005	0.958844958044875	195	294	183	202	outcomes
Nelson	Zinc	Rivera	2005	OR	0.862068965517241	0.591391431923949	1.25663454218514	100	109	116	109	
Nelson	Zinc	al-Majeed	2000	OR	0.884064140769122	0.5719589300556	1.36647819261755	70	81	87	89	
Nelson	Zinc	Yang	1994	OR	0.705223880597015	0.433742289002239	1.14662723551437	57	67	76	63	
Nelson	Zinc	Carlton	1997	OR	0.978379017013232	0.649425193844263	1.47395806323049	91	92	92	91	
Nelson	Zinc	Keese	2012	OR	0.985625	0.635304457486773	1.52911982463971	76	80	80	83	
Nelson	Zinc	Garner	2019	OR	1.03508771929825	0.6157905709656	1.73988793781303	56	57	56	59	
Nelson	Zinc	Lerum	2000	OR	1.01315789473684	0.607119477603821	1.6907527390143	55	57	60	63	
Nelson	Zinc	Bui	2011	OR	0.934458144062297	0.578230252961173	1.51014586063692	60	67	69	72	
Nelson	Zinc	Padilla	2015	OR	0.865904365904366	0.589063510656954	1.27285149619272	98	104	111	102	
Nelson	Zinc	Hernandez	2008	OR	1.08435013262599	0.659965369159427	1.78163168110412	56	65	58	73	
Nelson	Zinc	Chen	2010	OR	0.785989882534511	0.532495919893317	1.16015930332459	89	109	107	103	
Nelson	Zinc	al-Morad	2017	OR	0.90713587487781	0.604844822402689	1.36050680275555	87	99	93	96	
Nelson	Zinc	Buck	1987	OR	0.757432432432433	0.460120409043358	1.24685599339813	57	74	60	59	
Nelson	Zinc	el-Hamdan	1998	OR	1.03615303615304	0.661041277768172	1.6241241665784	72	74	77	82	
Nelson	Zinc	Trujillo	1987	OR	0.74830239927569	0.491646382400171	1.13894152546816	76	94	94	87	
Nelson	Zinc	Birdsong	1989	OR	0.776976597090449	0.505547535048191	1.19413623956985	74	85	93	83	
Nelson	Zinc	Richy	2002	OR	1.07539118065434	0.686424894039659	1.68476726510201	72	74	76	84	
Nelson	Zinc	Carreto	2019	OR	0.755555555555556	0.480273809399864	1.18862237823087	68	80	81	72	
Nelson	Zinc	Gonzales	2001	OR	1.04478458049887	0.711064961167388	1.5351267173341	97	108	98	114	
Nelson	Zinc	Turner	1998	OR	0.964638817137258	0.657713265356905	1.41479288398269	95	109	103	114	
Nelson	Zinc	Nalla	1991	OR	0.912087912087912	0.599706737637074	1.38718528101702	83	88	91	88	
Nelson	Zinc	Phan	2017	OR	0.908035714285714	0.622922935484193	1.3236450473243	99	110	112	113	
Nelson	Zinc	Tsui	2007	OR	0.965893108298172	0.61338589702871	1.52098295897768	67	72	79	82	
Nelson	Zinc	Webster	1985	OR	0.90889766170665	0.584731723951233	1.4127760229488	73	74	89	82	
Nelson	Zinc	Vela-Lopez	2008	OR	0.983982787473105	0.65233244460641	1.4842464667345	84	94	89	98	
Nelson	Zinc	el-Obeid	2011	OR	0.81867816091954	0.527030588255513	1.27171732742324	74	80	87	77	
Nelson	Zinc	Fink	2014	OR	0.848870366308401	0.563541092175374	1.27866611468381	86	97	94	90	
Nelson	Zinc	Heilman	2013	OR	0.875987743912272	0.600177457220705	1.27854606708817	97	106	117	112	
Nelson	Zinc	al-Sadri	2020	OR	0.910375412541254	0.610340693139173	1.35790289108361	91	101	96	97	
Nelson	Zinc	Fitzgerald	2013	OR	0.797297297297297	0.499073541815773	1.27372606843628	59	74	75	75	
Nelson	Zinc	Creel	2019	OR	0.93904788112273	0.611627143419088	1.44174589458478	75	92	79	91	
Huynh	Vitamin D	Johnson	1994	OR	1.30517848164907	0.737239615374245	2.31063392882791	44	51	39	59	
Huynh	Vitamin D	al-Iman	1992	OR	1.21848739495798	0.524057712602526	2.83310691927089	20	34	14	29	
Huynh	Vitamin D	Lozoya Rangel	2013	OR	1.14130434782609	0.435953027343103	2.98788064921861	15	23	12	21	groups
Huynh	Vitamin D	Lozoya Rangel	2013	OR	1.26580086580087	0.657773906629614	2.4358701610285	34	35	33	43	groups
Huynh	Vitamin D	Lozoya Rangel	2013	OR	1.35416666666667	0.649303116197296	2.82420847115403	25	30	24	39	groups
Huynh	Vitamin D	Bernal	2017	OR	0.998918918918919	0.548476706385238	1.81929149398239	42	50	37	44	
Huynh	Vitamin D	Walker	2008	OR	1.35576923076923	0.702002126649799	2.6183826762359	33	44	26	47	groups
Huynh	Vitamin D	Walker	2008	OR	1.10326086956522	0.556838117330346	2.18588582288396	29	46	24	42	groups
Huynh	Vitamin D	Walker	2008	OR	1.5359477124183	0.776619375264495	3.03769832484485	30	34	27	47	groups
Huynh	Vitamin D	Walker	2008	OR	1.0438222763238	0.561443410812035	1.94064962481957	35	53	31	49	groups
Huynh	Vitamin D	Ponce	1997	OR	0.984748010610079	0.519848632919022	1.86540577966965	33	52	29	45	
Huynh	Vitamin D	Enriquez	2008	OR	2.64705882352941	0.879603318217118	7.96600043463609	15	17	7	21	
Huynh	Vitamin D	Marquez	2019	OR	1.42763157894737	0.630037545387866	3.23493725116498	21	24	19	31	
