meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_cases_exp	n_exp	n_cases_nexp	n_nexp	rob
el-Hakim	SSRI	Scott	1999	RR	0.650731707317073	0.461778588689624	0.917001708783013	23	50	41	58	low
el-Hakim	SSRI	al-Ramin	1999	RR	0.902178466694596	0.771320320393602	1.05523731742484	59	77	62	73	unclear
el-Hakim	SSRI	Mackenzie	1996	RR	0.851831750339213	0.682336079746892	1.06343098719788	43	67	55	73	high
el-Hakim	SSRI	Unruh	1989	RR	0.639204545454545	0.503274744718694	0.811847713832988	36	64	44	50	low
el-Hakim	SSRI	Mills	2006	RR	0.585284280936455	0.430248880374319	0.79618496441705	25	52	46	56	unclear
el-Hakim	SSRI	Legarde	2010	RR	0.82258064516129	0.614845248522097	1.10050280037196	34	62	38	57	high
el-Hakim	SSRI	Matticks	2001	RR	0.756172839506173	0.63384115781532	0.902114601042412	49	72	63	70	low
el-Hakim	SSRI	Herndon	2011	RR	0.830769230769231	0.654116485709489	1.05512936895987	41	65	41	54	unclear
el-Hakim	SSRI	Foster	2005	RR	0.916839916839917	0.738129982599055	1.13881762416855	49	74	52	72	high
el-Hakim	SSRI	Mende	1990	RR	0.853170478170478	0.693348013659546	1.04983334556586	49	74	52	67	low
el-Hakim	SSRI	al-Nasrallah	2001	RR	0.835517970401691	0.673122084674005	1.03709311395161	38	55	43	52	unclear
el-Hakim	SSRI	Riddo	2002	RR	0.759041394335512	0.571665914262172	1.00783311360868	26	45	51	67	high
el-Hakim	SSRI	Coltrain	2014	RR	0.842296511627907	0.649663770709732	1.09204706416902	38	64	43	61	low
el-Hakim	SSRI	Kelly	2001	RR	0.736363636363636	0.581721896290802	0.932114483597875	39	65	44	54	unclear
el-Hakim	SSRI	Do	2002	RR	0.970350404312668	0.796288014800785	1.18246148334321	55	77	53	72	high
el-Hakim	SSRI	Braley	2012	RR	0.695454545454545	0.554398576762636	0.872399470463405	39	65	44	51	low
el-Hakim	SSRI	el-Dia	1990	RR	0.592207792207792	0.414546902395723	0.846008176939271	19	42	55	72	unclear
el-Hakim	SSRI	Stuckey	2014	RR	0.904605263157895	0.648422745257207	1.26200181612748	30	57	32	55	high
el-Hakim	SSRI	el-Iqbal	2011	RR	0.593542260208927	0.429799033794626	0.81966776784859	25	54	39	50	low
el-Hakim	SSRI	Trujillo	1987	RR	0.83265306122449	0.669757979397742	1.03516664480795	34	49	50	60	unclear
el-Hakim	SSRI	King	1998	RR	0.395021645021645	0.261480992662683	0.596762687974437	15	42	66	73	high
el-Hakim	SSRI	al-Mansoor	2019	RR	0.977480219111382	0.790258927487087	1.20905635548122	44	62	53	73	low
el-Hakim	SSRI	Livesay	1986	RR	0.716350496838302	0.558207213130599	0.919296673797053	26	41	54	61	unclear
el-Hakim	SSRI	Mcknight	1997	RR	0.678787878787879	0.516428247550786	0.892191677303703	32	60	44	56	high
